p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.5950796130612037	0.912	0.214	0	0	BCL2A1
0	3.3710736229567795	0.757	0.06	0	0	CD93
0	2.6761982336310144	0.971	0.274	0	0	NPC2
0	2.618175476812323	0.892	0.197	0	0	CDKN1A
0	1.9962524036444171	0.949	0.254	0	0	CTSB
0	1.815109229566226	0.895	0.201	0	0	SH3BP2
0	2.4791961120607287	0.825	0.132	0	0	MARCKS
0	4.0369939277831755	0.997	0.307	0	0	GPX1
0	3.0459062676317443	0.775	0.087	0	0	CLEC12A
0	2.938661456974325	0.976	0.288	0	0	CTSD
0	1.4490335937858776	0.985	0.298	0	0	HLA-DRA
0	1.9003955806317925	0.93	0.246	0	0	CORO1C
0	3.4434083064438283	0.785	0.103	0	0	FGL2
0	1.61546990791478	0.981	0.299	0	0	CYRIA
0	2.4884520359726237	0.901	0.22	0	0	GSTO1
0	3.906231389027792	0.729	0.048	0	0	CCR1
0	3.5035207682898046	0.747	0.067	0	0	FCGR2A
0	1.8694948977320296	0.84	0.16	0	0	P2RX1
0	2.803885348707494	0.785	0.106	0	0	FBP1
0	2.9982632590309235	0.984	0.305	0	0	CD63
0	2.2907279379535894	0.838	0.16	0	0	CXCL16
0	2.675000972714392	0.997	0.32	0	0	LGALS1
0	1.1902366259395127	0.929	0.253	0	0	MEF2C
0	1.8230060016416971	0.897	0.221	0	0	HAVCR2
0	2.8856937385167316	0.766	0.091	0	0	B3GNT5
0	2.3122727716293516	0.862	0.187	0	0	ETS2
0	2.223905676267697	0.917	0.243	0	0	MAML3
0	1.9757574324572944	0.874	0.2	0	0	TMCC3
0	2.8933869293286554	0.811	0.138	0	0	BLVRB
0	2.443337797938785	0.804	0.132	0	0	CPPED1
0	2.753367291405344	0.719	0.047	0	0	NRGN
0	2.184371844171497	0.876	0.208	0	0	MFSD1
0	2.476958065116448	0.81	0.145	0	0	TNFSF13B
0	2.504285798622777	0.817	0.152	0	0	TNFRSF1A
0	1.4992550878052096	0.9	0.236	0	0	PECAM1
0	2.227543988818782	0.848	0.184	0	0	GK
0	2.317800941446547	0.769	0.107	0	0	IGF2BP2
0	2.513736348784199	0.98	0.318	0	0	IFNGR2
0	2.0938935740886153	0.914	0.253	0	0	MGAT1
0	1.924541165010632	0.886	0.225	0	0	ADAM9
0	2.8753507359228023	0.734	0.076	0	0	TLR4
0	2.35969607718956	0.994	0.336	0	0	PLEK
0	2.458306644343695	0.769	0.112	0	0	RAB20
0	2.768513777277706	0.967	0.31	0	0	AP1S2
0	2.388865961021489	0.845	0.19	0	0	MIR22HG
0	2.8555197028961143	0.732	0.077	0	0	LILRA5
0	1.7960778796594294	0.915	0.261	0	0	SLC6A6
0	2.3028983469691258	0.75	0.097	0	0	SLC39A13-AS1
0	2.703391381584068	0.768	0.116	0	0	NPL
0	1.9864888208797231	0.834	0.183	0	0	CTNNA1
0	2.2740532321895492	0.78	0.129	0	0	LRRK2
0	1.763198843326319	0.895	0.245	0	0	CCDC88A
